"time","DOC","Cs","X"
0,8.867,4.284,"JBHF"
0.01,8.84180865923591,4.30919134076409,"JBHF"
0.02,8.81709729305017,4.33390270694983,"JBHF"
0.03,8.79285453764746,4.35814546235254,"JBHF"
0.04,8.76907073027379,4.3819292697262,"JBHF"
0.05,8.74573330036311,4.40526669963688,"JBHF"
0.06,8.72283234845826,4.42816765154174,"JBHF"
0.07,8.70035780503886,4.45064219496114,"JBHF"
0.08,8.67829987630993,4.47270012369007,"JBHF"
0.09,8.65664909336149,4.49435090663851,"JBHF"
0.1,8.63539623505895,4.51560376494105,"JBHF"
0.11,8.61453234381763,4.53646765618237,"JBHF"
0.12,8.59404871824046,4.55695128175954,"JBHF"
0.13,8.57393690234129,4.57706309765871,"JBHF"
0.14,8.55418867618062,4.59681132381938,"JBHF"
0.15,8.53479604831526,4.61620395168474,"JBHF"
0.16,8.51575124805255,4.63524875194745,"JBHF"
0.17,8.49704671760611,4.65395328239389,"JBHF"
0.18,8.47867510493426,4.67232489506574,"JBHF"
0.19,8.46062925681329,4.69037074318671,"JBHF"
0.2,8.44290221218113,4.70809778781887,"JBHF"
0.21,8.42548719574781,4.72551280425219,"JBHF"
0.22,8.40837761186007,4.74262238813993,"JBHF"
0.23,8.39156703860851,4.75943296139149,"JBHF"
0.24,8.37504922216621,4.77595077783378,"JBHF"
0.25,8.35881807134815,4.79218192865184,"JBHF"
0.26,8.34286765238152,4.80813234761848,"JBHF"
0.27,8.3271921838774,4.82380781612259,"JBHF"
0.28,8.31178603199488,4.83921396800512,"JBHF"
0.29,8.29664370578886,4.85435629421114,"JBHF"
0.3,8.28175985273376,4.86924014726624,"JBHF"
0.31,8.2671292544151,4.8838707455849,"JBHF"
0.32,8.2527468223818,4.8982531776182,"JBHF"
0.33,8.23860759415228,4.91239240584772,"JBHF"
0.34,8.22470672936752,4.92629327063248,"JBHF"
0.35,8.21103950608511,4.93996049391489,"JBHF"
0.36,8.19760131720799,4.95339868279201,"JBHF"
0.37,8.18438766704236,4.96661233295764,"JBHF"
0.38,8.17139416797932,4.97960583202068,"JBHF"
0.39,8.15861653729499,4.99238346270501,"JBHF"
0.4,8.14605059406431,5.0049494059357,"JBHF"
0.41,8.13369225618363,5.01730774381637,"JBHF"
0.42,8.12153753749797,5.02946246250203,"JBHF"
0.43,8.10958254502821,5.04141745497179,"JBHF"
0.44,8.09782347629466,5.05317652370535,"JBHF"
0.45,8.08625661673265,5.06474338326735,"JBHF"
0.46,8.07487833719688,5.07612166280312,"JBHF"
0.47,8.06368509155063,5.08731490844937,"JBHF"
0.48,8.05267341433672,5.09832658566329,"JBHF"
0.49,8.04183991852685,5.10916008147315,"JBHF"
0.5,8.03118129334636,5.11981870665365,"JBHF"
