 ,Post DOC (mg/L),DOC,phase
PIHF5,231.1666667,3.4675,long
PIHS5,176.6333333,2.6495,long
PILF5,37.51,0.56265,long
PILS5,25.66333333,0.38495,long
PIHF6,234.1333333,3.512,long
PIHS6,178.3666667,2.6755,long
PILF6,41.19,0.61785,long
PILS6,27.53,0.41295,long
PIHF7,229.25,3.43875,long
PIHS7,184.1,2.7615,long
PILF7,41.79333333,0.6269,long
PILS7,29.01666667,0.43525,long
PMHF1,224.7,3.3705,init
PMHS1,194.3,2.9145,init
PMLF1,35.06333333,0.52595,init
PMLS1,24.74333333,0.37115,init
PMHF2,226,3.39,init
PMHS2,194.5,2.9175,init
PMLF2,34.79333333,0.5219,init
PMLS2,26.61,0.39915,init
PMHF3,235.25,3.52875,init
PMHS3,213.4,3.201,init
PMLF3,44.18333333,0.66275,init
PMLS3,31.58666667,0.4738,init
PMHF4,243.95,3.65925,long
PMHS4,205.7,3.0855,long
PMLF4,40.95,0.61425,long
PMLS4,30.26666667,0.454,long
PMHF5,244.3666667,3.6655,long
PMHS5,197.4,2.961,long
PMLF5,52.53333333,0.788,long
PMLS5,38.25,0.57375,long
PMHF6,239.4,3.591,long
PMHS6,191.5,2.8725,long
PMLF6,54.41,0.81615,long
PMLS6,37.78666667,0.5668,long
PMHF7,257.75,3.86625,long
PMHS7,187.8,2.817,long
PMLF7,58.15,0.87225,long
PMLS7,38.95,0.58425,long
