time,X,DOC,type
13.4,JBLF,0.920343897,Langmuir
13.5,JBLF,0.920259689,Langmuir
13.6,JBLF,0.920394692,Langmuir
13.7,JBLF,0.920529695,Langmuir
13.8,JBLF,0.920664698,Langmuir
13.9,JBLF,0.920799701,Langmuir
14,JBLF,0.920934705,Langmuir
14.1,JBLF,0.921069708,Langmuir
14.2,JBLF,0.921204711,Langmuir
14.3,JBLF,0.921339714,Langmuir
14.4,JBLF,0.921474717,Langmuir
14.5,JBLF,0.921411698,Langmuir
14.6,JBLF,0.92120278,Langmuir
14.7,JBLF,0.920993862,Langmuir
14.8,JBLF,0.920784945,Langmuir
14.9,JBLF,0.920576027,Langmuir
15,JBLF,0.920367109,Langmuir
15.1,JBLF,0.920158191,Langmuir
15.2,JBLF,0.920016369,Langmuir
15.3,JBLF,0.920171488,Langmuir
15.4,JBLF,0.920326606,Langmuir
15.5,JBLF,0.920481724,Langmuir
15.6,JBLF,0.920636843,Langmuir
15.7,JBLF,0.920791961,Langmuir
15.8,JBLF,0.92094708,Langmuir
15.9,JBLF,0.921102198,Langmuir
16,JBLF,0.921014705,Langmuir
16.1,JBLF,0.92086382,Langmuir
16.2,JBLF,0.920712936,Langmuir
16.3,JBLF,0.920562051,Langmuir
16.4,JBLF,0.920411167,Langmuir
16.5,JBLF,0.920260282,Langmuir
16.6,JBLF,0.920109397,Langmuir
16.7,JBLF,0.919958513,Langmuir
16.8,JBLF,0.919807628,Langmuir
16.9,JBLF,0.919866092,Langmuir
17,JBLF,0.920138697,Langmuir
17.1,JBLF,0.920411301,Langmuir
17.2,JBLF,0.920683906,Langmuir
17.3,JBLF,0.920956511,Langmuir
17.4,JBLF,0.921229116,Langmuir
17.5,JBLF,0.921501721,Langmuir
17.6,JBLF,0.921774326,Langmuir
17.7,JBLF,0.922046931,Langmuir
17.8,JBLF,0.922048045,Langmuir
17.9,JBLF,0.921677464,Langmuir
18,JBLF,0.921306883,Langmuir
18.1,JBLF,0.920936302,Langmuir
18.2,JBLF,0.92056572,Langmuir
18.3,JBLF,0.920195139,Langmuir
18.4,JBLF,0.919824558,Langmuir
18.5,JBLF,0.919453977,Langmuir
18.6,JBLF,0.919700982,Langmuir
18.7,JBLF,0.919970845,Langmuir
18.8,JBLF,0.920240708,Langmuir
18.9,JBLF,0.920510571,Langmuir
19,JBLF,0.920780435,Langmuir
19.1,JBLF,0.921050298,Langmuir
19.2,JBLF,0.921308897,Langmuir
19.3,JBLF,0.921141199,Langmuir
19.4,JBLF,0.920973501,Langmuir
19.5,JBLF,0.920805802,Langmuir
19.6,JBLF,0.920638104,Langmuir
19.7,JBLF,0.920470406,Langmuir
19.8,JBLF,0.920302708,Langmuir
19.9,JBLF,0.92013501,Langmuir
20,JBLF,0.920014401,Langmuir
20.1,JBLF,0.92020546,Langmuir
20.2,JBLF,0.920396519,Langmuir
20.3,JBLF,0.920587579,Langmuir
20.4,JBLF,0.920778638,Langmuir
20.5,JBLF,0.920969697,Langmuir
20.6,JBLF,0.921160756,Langmuir
20.7,JBLF,0.921351815,Langmuir
20.8,JBLF,0.921542875,Langmuir
20.9,JBLF,0.921631161,Langmuir
21,JBLF,0.921348778,Langmuir
21.1,JBLF,0.921066396,Langmuir
21.2,JBLF,0.920784013,Langmuir
21.3,JBLF,0.92050163,Langmuir
21.4,JBLF,0.920219247,Langmuir
21.5,JBLF,0.919936864,Langmuir
21.6,JBLF,0.919654482,Langmuir
21.7,JBLF,0.919372099,Langmuir
21.8,JBLF,0.919575259,Langmuir
21.9,JBLF,0.919888616,Langmuir
22,JBLF,0.920201973,Langmuir
22.1,JBLF,0.92051533,Langmuir
22.2,JBLF,0.920828688,Langmuir
22.3,JBLF,0.921142045,Langmuir
22.4,JBLF,0.921455402,Langmuir
22.5,JBLF,0.921550674,Langmuir
22.6,JBLF,0.921316485,Langmuir
22.7,JBLF,0.921082296,Langmuir
22.8,JBLF,0.920848106,Langmuir
22.9,JBLF,0.920613917,Langmuir
23,JBLF,0.920379728,Langmuir
23.1,JBLF,0.920145539,Langmuir
23.2,JBLF,0.919931352,Langmuir
23.3,JBLF,0.920116898,Langmuir
23.4,JBLF,0.920302444,Langmuir
23.5,JBLF,0.920487989,Langmuir
23.6,JBLF,0.920673535,Langmuir
23.7,JBLF,0.920859081,Langmuir
23.8,JBLF,0.921044626,Langmuir
23.9,JBLF,0.921230172,Langmuir
24,JBLF,0.921415718,Langmuir
0,JBHF,8.867,Langmuir
0.1,JBHF,8.248817236,Langmuir
0.2,JBHF,7.969747135,Langmuir
0.3,JBHF,7.822874884,Langmuir
0.4,JBHF,7.752721419,Langmuir
0.5,JBHF,7.714092159,Langmuir
0.6,JBHF,7.694048106,Langmuir
0.7,JBHF,7.685763369,Langmuir
0.8,JBHF,7.682075824,Langmuir
0.9,JBHF,7.680049763,Langmuir
1,JBHF,7.678416556,Langmuir
1.1,JBHF,7.676783348,Langmuir
1.2,JBHF,7.675150141,Langmuir
1.3,JBHF,7.673516934,Langmuir
1.4,JBHF,7.672753071,Langmuir
1.5,JBHF,7.676181297,Langmuir
1.6,JBHF,7.679609523,Langmuir
1.7,JBHF,7.682392393,Langmuir
1.8,JBHF,7.68111627,Langmuir
1.9,JBHF,7.679840148,Langmuir
2,JBHF,7.678792727,Langmuir
2.1,JBHF,7.679745508,Langmuir
2.2,JBHF,7.680698289,Langmuir
2.3,JBHF,7.68165107,Langmuir
2.4,JBHF,7.682603851,Langmuir
2.5,JBHF,7.683556632,Langmuir
2.6,JBHF,7.682220053,Langmuir
2.7,JBHF,7.680224263,Langmuir
2.8,JBHF,7.678228472,Langmuir
2.9,JBHF,7.677324294,Langmuir
3,JBHF,7.678751803,Langmuir
3.1,JBHF,7.680179311,Langmuir
3.2,JBHF,7.68160682,Langmuir
3.3,JBHF,7.680430571,Langmuir
3.4,JBHF,7.678835111,Langmuir
3.5,JBHF,7.677239651,Langmuir
3.6,JBHF,7.675644191,Langmuir
3.7,JBHF,7.67404873,Langmuir
3.8,JBHF,7.676721377,Langmuir
3.9,JBHF,7.679489687,Langmuir
4,JBHF,7.682257996,Langmuir
4.1,JBHF,7.682213867,Langmuir
4.2,JBHF,7.680502275,Langmuir
4.3,JBHF,7.678790684,Langmuir
4.4,JBHF,7.677988239,Langmuir
4.5,JBHF,7.67955281,Langmuir
4.6,JBHF,7.681117381,Langmuir
4.7,JBHF,7.682681952,Langmuir
4.8,JBHF,7.684246523,Langmuir
4.9,JBHF,7.683201154,Langmuir
