 ,Post DOC (mg/L),DOC
PMHF4,243.95,3.65925
PMHS4,205.7,3.0855
PMLF4,40.95,0.61425
PMLS4,30.26666667,0.454
PMHF5,244.3666667,3.6655
PMHS5,197.4,2.961
PMLF5,52.53333333,0.788
PMLS5,38.25,0.57375
PMHF6,239.4,3.591
PMHS6,191.5,2.8725
PMLF6,54.41,0.81615
PMLS6,37.78666667,0.5668
PMHF7,257.75,3.86625
PMHS7,187.8,2.817
PMLF7,58.15,0.87225
PMLS7,38.95,0.58425
