"kdes","kads","X"
0.856538796646927,0.68080282535671,"JBHF"
0.752215407504535,1.31839356867943,"JBHS"
0.768293360394688,2.6350648658741,"JBLF"
0.397425280686936,1.31915688536701,"JBLS"
1.08111254944897,0.184064778529389,"TAHF"
1.51895819623486,0.790573675087884,"TAHS"
1.23926490724938,0.559394745823012,"TALF"
0.867502261291869,0.806110279113223,"TALS"
2.33172358937332,1.04713662913202,"WCHF"
0.810834676098566,0.842201631612941,"WCHS"
0.553248276150846,0.702616648716556,"WCLF"
2.59689430385329,4.39452784076021,"WCLS"
0.680420010168478,0.108785176160661,"WIHF"
3.0608403824649,1.73008843963284,"WIHS"
0.917950237262227,0.532934305563091,"WILF"
0.693424188620987,0.890742870347194,"WILS"
0.65119575440541,0.0716026297413847,"WMHF"
1.67239197389699,0.689476850026529,"WMHS"
1.01094339548445,0.253186934370693,"WMLF"
0.856631338080479,0.63147452114402,"WMLS"
1.68419221519041,0.0787083463759842,"PCHF"
2.17262968950375,0.703212694745673,"PCHS"
1.65191865542242,1.00943657290704,"PCLF"
1.87196799364253,2.02608134992164,"PCLS"
2.18930480142561,0.375218280567287,"PIHF"
2.00531804751564,0.922509078079802,"PIHS"
0.999866312954745,0.790981728263198,"PILF"
0.715562637766765,1.17700867312532,"PILS"
17.1967630417248,1.67531202551987,"PMHF"
3.15909486779079,1.10566147763026,"PMHS"
1.04271480458739,0.287695377283555,"PMLF"
0.781358771751568,0.604240101109065,"PMLS"
