"time","DOC.x","DOC.y","Cs","X"
0,8.867,8.867,4.284,"JBHF"
0.3,8.0349,8.28175985273376,4.86924014726624,"JBHF"
1.05,7.872,7.64163384883449,5.50936615116551,"JBHF"
6.05,7.2459,7.32301715436187,5.82798284563813,"JBHF"
12.05,7.3149,7.32267849588009,5.82832150411991,"JBHF"
24.05,7.2519,7.32267839964984,5.82832160035017,"JBHF"
0,8.385,8.385,4.5,"JBHS"
1.05,5.1021,5.1020204393222,7.7829795606778,"JBHS"
6.05,4.7049,4.68092752975682,8.20407247024318,"JBHS"
12.05,4.6569,4.68086401881353,8.20413598118648,"JBHS"
24.05,4.659,4.680864017058,8.20413598294189,"JBHS"
0,0.07702,0.07702,4.242,"JBLF"
1.05,0.9498,0.960199142243511,3.35882085775649,"JBLF"
6.05,0.9276,0.966647651788516,3.35237234821148,"JBLF"
12.05,1.0224,0.966647651789069,3.35237234821093,"JBLF"
24.05,1.0989,0.966647651789069,3.35237234821093,"JBLF"
0,0.10532,0.10532,4.5,"JBLS"
1.05,0.9078,0.906574906590186,3.69874509340982,"JBLS"
6.05,1.0347,1.06411851608391,3.54120148391609,"JBLS"
12.05,1.0977,1.06414754887574,3.54117245112426,"JBLS"
24.05,1.1262,1.06414754983361,3.54117245016641,"JBLS"
0,8.78,8.78,2.0298,"TAHF"
1.05,9.1161,9.11605485853048,1.69374514146954,"TAHF"
6.05,9.231,9.23691752677508,1.57288247322496,"TAHF"
12.05,9.243,9.23712704498223,1.57267295501781,"TAHF"
24.05,9.405,9.23712714639456,1.5726728536054,"TAHF"
0,8.413,8.413,1.93,"TAHS"
1.05,6.945,6.94495880299332,3.39804119700668,"TAHS"
6.05,6.8721,6.80249938437071,3.54050061562929,"TAHS"
12.05,6.7329,6.80249796613847,3.54050203386154,"TAHS"
24.05,6.996,6.80249796613707,3.54050203386295,"TAHS"
0,0.12164,0.12164,2.0298,"TALF"
1.05,1.2765,1.27653289555735,0.874907104442648,"TALF"
6.05,1.4328,1.48229479963187,0.669145200368133,"TALF"
12.05,1.5318,1.48232032865502,0.669119671344989,"TALF"
24.05,1.6308,1.48232032917894,0.669119670821061,"TALF"
0,0.12432,0.12432,1.9686,"TALS"
1.05,0.9192,0.919164729220725,1.17375527077927,"TALS"
6.05,1.0371,1.08480773984103,1.00811226015897,"TALS"
12.05,1.1325,1.08484580063131,1.00807419936869,"TALS"
24.05,1.1304,1.08484580226673,1.00807419773327,"TALS"
0,3.0025,3.0025,1.0149,"WCHF"
1.05,2.779,2.77899599422999,1.23840400577,"WCHF"
6.05,2.74575,2.77237537881571,1.24502462118429,"WCHF"
12.05,2.799,2.7723753784596,1.24502462154039,"WCHF"
24.05,2.679,2.7723753784596,1.24502462154039,"WCHF"
0,2.9545,2.9545,0.939266667,"WCHS"
1.05,2.094,2.09406337838971,1.79970328861029,"WCHS"
6.05,1.9665,1.90998635325301,1.98378031374699,"WCHS"
12.05,1.8535,1.90993334633181,1.9838333206682,"WCHS"
24.05,1.7755,1.90993334332473,1.98383332367528,"WCHS"
0,0.04185,0.04185,0.995,"WCLF"
1.05,0.3475,0.347328910642332,0.689521089357667,"WCLF"
6.05,0.43725,0.456079640880108,0.580770359119892,"WCLF"
12.05,0.47495,0.456262554011092,0.580587445988907,"WCLF"
24.05,0.47775,0.456262639447331,0.580587360552671,"WCLF"
0,0.0721,0.0721,0.932833333,"WCLS"
0.22,0.31065,0.308518349270029,0.696414983729971,"WCLS"
0.3,0.33325,0.336251894804424,0.668681438195575,"WCLS"
6.05,0.35605,0.373288493345882,0.631644839654118,"WCLS"
12.05,0.3913,0.373288493345882,0.631644839654118,"WCLS"
24.05,0.3769,0.373288493345882,0.631644839654118,"WCLS"
0,3.103,3.103,1.048066667,"WIHF"
0.3,3.2265,3.20322390021745,0.947842766782545,"WIHF"
1.05,3.36,3.37116672431618,0.779899942683813,"WIHF"
6.05,3.567,3.57488587989021,0.576180787109772,"WIHF"
12.05,3.588,3.57878875381709,0.572277913182888,"WIHF"
24.05,3.64,3.57882238431334,0.57224428268664,"WIHF"
0,2.9545,2.9545,0.9843,"WIHS"
0.05,2.92425,2.86090523181454,1.07789476818546,"WIHS"
0.22,2.638,2.67097429310028,1.26782570689972,"WIHS"
6.05,2.5365,2.52606850759958,1.41273149240042,"WIHS"
12.05,2.52375,2.52606850759951,1.41273149240049,"WIHS"
24.05,2.6355,2.52606850759951,1.41273149240049,"WIHS"
0,0.06885,0.06885,1.021533333,"WILF"
1.05,0.55455,0.554534113413848,0.535849219586153,"WILF"
6.05,0.6782,0.689801632839422,0.400581700160577,"WILF"
12.05,0.7014,0.68989731679531,0.400486016204689,"WILF"
24.05,0.785,0.689897332649461,0.400486000350536,"WILF"
0,0.08375,0.08375,0.952133333,"WILS"
1.05,0.38335,0.383375834747699,0.652507498252302,"WILS"
6.05,0.4638,0.453394041448823,0.582489291551177,"WILS"
12.05,0.44305,0.453418261873795,0.582465071126205,"WILS"
24.05,0.5269,0.453418263569952,0.582465069430049,"WILS"
0,3.0025,3.0025,0.968466667,"WMHF"
1.05,3.315,3.30837648667054,0.662590180329458,"WMHF"
6.05,3.5265,3.57034056246282,0.400626104537164,"WMHF"
12.05,3.61725,3.57748278144836,0.39348388555163,"WMHF"
24.05,3.4215,3.57757710147666,0.39338956552333,"WMHF"
0,2.9545,2.9545,0.971433333,"WMHS"
1.05,2.7945,2.79449555633697,1.13143777666303,"WMHS"
6.05,2.7915,2.77987481761218,1.14605851538782,"WMHS"
12.05,2.76825,2.7798747084411,1.1460586245589,"WMHS"
24.05,2.7745,2.77987470844103,1.14605862455897,"WMHS"
0,0.04185,0.04185,1.001633333,"WMLF"
1.05,0.6248,0.624323833906712,0.419159499093288,"WMLF"
6.05,0.78475,0.834111030163074,0.209372302836924,"WMLF"
12.05,0.88345,0.83447755504747,0.209005777952529,"WMLF"
24.05,0.8753,0.834477734176557,0.209005598823439,"WMLF"
0,0.0721,0.0721,0.990733333,"WMLS"
1.05,0.4986,0.498712342765227,0.564120990234774,"WMLS"
6.05,0.63745,0.611755358984046,0.451077974015957,"WMLS"
12.05,0.5862,0.611817379022895,0.45101595397711,"WMLS"
24.05,0.63825,0.611817386563443,0.451015946436558,"WMLS"
0,3.0375,3.0375,0.981733333,"PCHF"
0.22,3.257,3.28770201259504,0.731531320404956,"PCHF"
0.3,3.301,3.36106011667292,0.658173216327083,"PCHF"
1.05,3.819,3.7260976661283,0.293135666871699,"PCHF"
6.05,3.96075,3.83916574050811,0.180067592491892,"PCHF"
12.05,3.6695,3.83916966465196,0.18006366834803,"PCHF"
24.05,3.95325,3.83916966466879,0.180063668331184,"PCHF"
0,3.125,3.125,0.919966667,"PCHS"
1.05,3.05925,3.05924835819588,0.985718308804126,"PCHS"
6.05,3.06675,3.05587503622652,0.98909163077349,"PCHS"
12.05,3.045,3.05587503418942,0.989091632810584,"PCHS"
24.05,3.117,3.05587503418942,0.989091632810584,"PCHS"
0,0.10055,0.10055,0.995,"PCLF"
0.3,0.44715,0.419350550026091,0.676199449973908,"PCLF"
